Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00344,O=Cc1ccccc1,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C7H6O,106.0419,0.10256410256410256,0.1764593040611612,Aedes aegypti,240
REP_00345,O[C@H]1CCc2ccccc2C1,JWQYZECMEPOAPF-JTQLQIEISA-N,C10H12O,148.0888,0.5,0.2509086299447107,Aedes aegypti,13561
REP_00346,OC1CCc2ccccc2C1,JWQYZECMEPOAPF-UHFFFAOYSA-N,C10H12O,148.0888,0.5,0.2509086299447107,Aedes aegypti,10747
REP_00347,OC1CCCc2ccccc21,JAAJQSRLGAYGKZ-UHFFFAOYSA-N,C10H12O,148.0888,0.5,0.4865003763754286,Aedes aegypti,10723
REP_00348,OC1CCCCC1C1=CCCCC1,AWDPUMYRKBQMIL-UHFFFAOYSA-N,C12H20O,180.1514,0.875,0.5898372256608028,Aedes aegypti,2771870
REP_00349,OC1CCCCC1C1CCCCC1,YTWWBKKPWACPPB-UHFFFAOYSA-N,C12H22O,182.1671,0.6666666666666666,0.4075635551476706,Aedes aegypti,94327
REP_00350,OC1CCCCC1c1ccccc1,AAIBYZBZXNWTPP-UHFFFAOYSA-N,C12H16O,176.1201,0.99999999,0.3727858642861104,Aedes aegypti,15046
REP_00351,OC1(Cc2ccccc2)CCCCC1,FELACZRZMOTSPB-UHFFFAOYSA-N,C13H18O,190.1358,0.99999999,0.31847022740308834,Aedes aegypti,74753
REP_00352,OCCc1cccc2c1CCCC2,KATDHTDHYWKUNV-UHFFFAOYSA-N,C12H16O,176.1201,0.99999999,0.36454059699735303,Aedes aegypti,68827013
REP_00353,C=C1CCC2CC1C2(C)C,WTARULDDTDQWMU-UHFFFAOYSA-N,C10H16,136.1252,0.7037037037037037,0.541398565874637,Aedes aegypti,57393761
REP_00354,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,NPNUFJAVOOONJE-GFUGXAQUSA-N,C15H24,204.1878,0.8846153846153846,0.5476066006128071,Aedes aegypti,5281515
REP_00355,C=CC(=C)CCC=C(C)CCC=C(C)C,JSNRRGGBADWTMC-UHFFFAOYSA-N,C15H24,204.1878,0.99999999,0.2821906769119811,Aedes aegypti,10407
REP_00356,C=CC(=C)CCC=C(C)C,UAHWPYUMFXYFJY-UHFFFAOYSA-N,C10H16,136.1252,0.5777777777777777,0.2640778652886867,Aedes aegypti,31253
REP_00357,C=C(CC(C)C)CC(C)C,JQPLCIWGQTUQDW-UHFFFAOYSA-N,C10H20,140.1565,0.6388888888888888,0.3710218648838782,Aedes aegypti,12697191
REP_00358,C=C1/C=C/[C@H](C(C)C)CC/C(C)=C/CC1,GAIBLDCXCZKKJE-RXJOXMPGSA-N,C15H24,204.1878,0.7894736842105263,0.58368103979383,Aedes aegypti,5317570
