compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_00133,CCn1c(=O)c2c(nc(NCCCOC)n2C)n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00132,CCn1c(NCCO)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00162,O=C(CN1C(=O)CCC1=O)NCC1(O)CCc2ccccc2C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00161,CCn1c(NCC(C)C)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00160,CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(C)C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00159,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00158,O=C(CN1C(=O)CCC1=O)NCC1(Sc2ccccc2)CCOCC1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00157,O=C(CN1CCN(C(=O)CN2C(=O)CCC2=O)CC1)c1cccs1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00156,Cn1c(=O)c2c(ncn2CC(O)CN2CCOCC2)n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00154,O=C(CN1C(=O)CCC1=O)NCC1(c2cccs2)CC1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00153,Cc1ccc(C(=O)N2CCN(C3CCC3)CC2)cc1F,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00151,O=C(CN1C(=O)CCC1=O)N1CCC(Oc2ccc(C(F)(F)F)cn2)CC1,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00150,O=C1CCC(=O)N1Cc1csc(Nc2c(F)cccc2F)n1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00149,COc1ccc(Nc2nc(CN3C(=O)CCC3=O)cs2)c(C)c1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00148,O=C1CCC(=O)N1Cc1csc(Nc2cc(F)ccc2F)n1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
