compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00006,0,C,-0.9475277590076209,-1.282993237869618,0.5998944210602299,1.0946742918970593,3.004619972864898
REP_00006,1,C,-1.095022160668572,0.20112206921039333,0.25117597832571825,1.5510494130597179,4.026764076378174
REP_00006,2,C,-1.5556600692311735,0.44832527270682293,-1.1944213955833107,1.0950092791703885,3.0034248289363203
REP_00006,3,C,0.14656004392670335,1.050349846654757,0.6156681021479643,1.1078519510457872,2.0409898091392673
REP_00006,4,O,1.1932465907111751,0.70956008039178,-0.35358241010272723,1.4404678463825147,1.9841509766593501
REP_00006,5,C,2.1652742022758016,-0.1441410414477976,0.22860507561875912,1.3302310355050915,2.222022448498042
REP_00006,6,O,2.2300458129941543,-0.5428521349389124,1.4136441470617322,1.2519918124629872,1.0000000000000038
REP_00006,7,C,3.124995681858698,-0.5223658630305336,-0.9168613252284116,1.1001090314919937,2.004313345036944
REP_00006,8,Cl,2.234262102454043,-1.7502179401959592,-1.9631317303676141,1.8659902164721303,1.119893016433513
REP_00006,9,N,-2.241883926523433,0.8081217419234452,1.161700390237998,1.3315576650154366,2.3245916978631618
