compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
DEC_00314,CCCCOC1=CC(=O)CCC1,non_repellent,0.0,CC1CCCCC1,GFN2-xTB,converged,0.0,1.0,5.170085852819652,-10.376839600864749,-7.194057283363843,3.182782317500905,-37.70118671229901,1.6923981274590691,-5.199214075141916e-16,0.11804580225353062,0.22699572064551957,-0.3922303457797233,False
DEC_00317,CC1CCC(CO)(CO)C(C)C1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,26.234257627293225,-10.4687204697446,-0.33814536748505525,10.130575102259545,-39.76088314964061,1.5768283782080055,6.245004513516506e-17,0.14471615728298934,0.3184198109649778,-0.4649819426079967,True
DEC_00318,CCCOc1ccccc1C=O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,36.874331475476666,-10.620369204920665,-7.7839338293890314,2.836435375531634,-35.63457816950443,2.1100924948828217,1.0408340855860843e-16,0.11428429798230645,0.20207977458725238,-0.3504419063630797,False
DEC_00319,COC(Cc1ccccc1)OC,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,31.77255234611788,-10.697516988926546,-6.150790917135483,4.546726071791063,-36.658040287882045,0.9810810319040512,-8.006416042969878e-18,0.10929023231436827,0.24788153012882247,-0.32383571735416006,True
DEC_00322,CC(C)Oc1ccc(CO)cc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,25.089827160912943,-10.339243405097024,-6.305105524891409,4.034137880205615,-36.669795248261586,1.2809247991215282,-2.6688053476566264e-18,0.13307167388824206,0.28790542854054685,-0.44450350166077185,False
DEC_00323,CCOC(=O)c1cccc(Cl)c1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,17.33374287936166,-11.110084464549809,-7.7944978811438075,3.3155865834060014,-36.549038851685054,0.35846455675084193,1.2688263138573217e-16,0.14672974584388218,0.3490953739402498,-0.40791968784292604,False
DEC_00325,C=C(C)CC1CC(C)CCC1=O,non_repellent,0.0,CC1CCCCC1,GFN2-xTB,converged,0.0,1.0,17.772226014265854,-10.452752343187644,-6.915098420548555,3.5376539226390893,-36.79004550879529,1.3833481964028238,5.07464440839082e-16,0.09592110254930512,0.23116308532333613,-0.3692073009486529,True
DEC_00326,C=C(C)CC1CC(C)CCC1O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,21.750689218990434,-10.286339259030358,-5.25059686803599,5.035742390994368,-37.819589938736954,0.7295069689291477,3.5735303605122226e-16,0.10817408033179265,0.2827442130586057,-0.4528833770640641,False
DEC_00328,CCCCOc1ccc(C)cc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,19.803530960389153,-9.974717121522785,-5.96961974454278,4.005097376980005,-35.77694482753576,0.5233674621668554,-1.1275702593849246e-17,0.07784568805897121,0.14013836553117845,-0.28415546516701484,False
DEC_00332,C=C(C)COCc1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,29.230712207793925,-10.614921280848675,-6.192116630066834,4.422804650781841,-34.706813405778064,0.49667189226807523,-1.499868605383024e-16,0.07904640581360664,0.08440558564850192,-0.31889785681489713,False
DEC_00334,CCCCOc1ccc(Br)cc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,16.149589077799074,-10.491870680613028,-6.740565985519877,3.7513046950931503,-36.18875529803023,1.9484489171678019,5.523359547510154e-17,0.0869055113367727,0.14578133250946052,-0.2739647472403899,False
DEC_00336,C=C(C)C(=O)OC[C@H]1CCCO1,non_repellent,0.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,21.166689106704812,-10.727846496659213,-7.539656739215906,3.1881897574433067,-38.5971758218058,1.3887431529933791,5.817995657891445e-16,0.14657988715978987,0.3464112076160831,-0.407071256644881,True
DEC_00339,CCOC(=O)[C@@]1(C(C)(C)C)CO1,non_repellent,0.0,C1CC1,GFN2-xTB,converged,0.0,1.0,20.801450687769005,-11.152729786855026,-6.935422243687046,4.217307543167981,-39.61771022471403,0.5045602280779138,-2.185751579730777e-16,0.14068954058519728,0.3486735866678856,-0.40255669492500396,False
DEC_00341,C=CC[C@H]1CCCCC1=CC#N,non_repellent,0.0,CC1CCCCC1,GFN2-xTB,converged,0.0,1.0,28.155479343973777,-10.918994612153844,-7.193122327647794,3.7258722845060497,-34.05479803066063,1.909567867532835,8.043977007122084e-17,0.06819243083401176,0.1115319290411281,-0.25082750555056393,False
DEC_00344,C1=C(c2ccccc2)CCCC1,non_repellent,0.0,C1CCC(C2CCCCC2)CC1,GFN2-xTB,converged,0.0,1.0,22.88753222844712,-10.039768127320166,-6.282988428052958,3.7567796992672076,-32.815790560778254,0.2710553314330095,5.871371764844578e-18,0.034920647440562974,0.038636818739515084,-0.053787915679556764,False
DEC_00345,C1CCC(C2CCCCC2)CC1,non_repellent,0.0,C1CCC(C2CCCCC2)CC1,GFN2-xTB,converged,0.0,1.0,8.908340132736917,-10.833527426271552,0.9747307168623638,11.808258143133916,-36.965430011727776,0.012603294596546173,-2.6357592579106427e-16,0.036989768999474065,0.03080616287177039,-0.05640621884474734,False
DEC_00347,C=CCC1=CC=C2OCO[C@H]2C1,non_repellent,0.0,C1CCC2CCCC2C1,GFN2-xTB,converged,0.0,1.0,34.59742673688702,-9.809180099641447,-6.681064827486206,3.1281152721552408,-35.60475795862832,0.4069541964352695,6.29704621779581e-16,0.11523306977238809,0.21540229725459326,-0.33008361369141537,False
DEC_00349,CCCCCCCCCCCCl,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,-3.185955954866499,-11.067470318380622,-4.119733536088373,6.947736782292249,-39.85610277689764,0.8881688312038722,3.245419805913181e-16,0.05743469522290119,0.058847331861857914,-0.2115127544001139,False
DEC_00350,CCOC(=O)/C=C/C(=O)OCC,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,-37.315150410352864,-11.479002496802623,-8.58814358460227,2.890858912200354,-39.50564927945935,0.13700832909560023,6.059967342745646e-16,0.18207984687709478,0.3550094947086724,-0.3993604584272008,False
DEC_00354,CC(=O)O[C@@H](C)C(=O)OC(C)C,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,0.23268761608605004,-11.368671155460333,-6.812282079973415,4.556389075486918,-40.5658812714281,1.0817312311733092,-1.3771035593908192e-16,0.18099458853717643,0.36087665396386215,-0.40886536031539644,False
DEC_00355,CC(C)OC(=O)C(=O)OC(C)C,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,54.77461198163521,-11.251427618237505,-8.218325610321438,3.0331020079160673,-40.55193100642312,0.11838629227606215,-2.0950121979104517e-16,0.16622953658404707,0.3277702422213506,-0.3654826701545678,False
DEC_00366,CCCCCC[C@H](C)OC(C)=O,non_repellent,0.0,,GFN2-xTB,converged,0.0,1.0,-9.152177698552688,-11.266959323429012,-6.371259706065906,4.895699617363105,-39.77571046775675,1.0052773576354606,2.0643209364124004e-16,0.12349623141134095,0.35724619712539385,-0.41251071344120205,False
LIC_00001,CC(C)N1CC[C@@]2(C[C@H]3CC[C@@H](C2)N3)OC1=O,insecticide,,CC1CCCC2(C1)CC1CCC(C1)C2,GFN2-xTB,converged,0.0,1.0,-38.04154603528355,-9.926898713309871,-5.167534712231485,4.759364001078386,-53.11688266298614,1.8163997703323418,-2.654571719135791e-16,0.1315344403950961,0.38940145706177653,-0.4549671461430236,False
